,Unnamed: 0,disease,doctors
0,0,Fungal infection,"Dr. Rajeev Soman - Lilavati Hospital, Mumbai"
1,1,Fungal infection,"Dr. Ramesh Sawant - KEM Hospital, Mumbai"
2,2,Fungal infection,"Dr. Geeta Oberoi - Jaslok Hospital, Mumbai"
3,3,Allergy,"Dr. M. V. Jayaraman - Apollo Hospitals, Chennai"
4,4,Allergy,"Dr. P. K. Vedanthan - Fortis Hospitals, Bengaluru"
5,5,Allergy,"Dr. Arun Kumar - AIIMS, New Delhi"
6,6,GERD,"Dr. G. R. Verma - Medanta Hospital, Gurugram"
7,7,GERD,"Dr. Ramesh Sharma - Max Super Speciality Hospital, Delhi"
8,8,GERD,"Dr. Sushmita Mukherjee - Narayana Health City, Bengaluru"
9,9,Chronic cholestasis,"Dr. Sanjay Goja - Max Hospital, Delhi"
10,10,Chronic cholestasis,"Dr. Raman Dhawan - Apollo Hospitals, Delhi"
11,11,Chronic cholestasis,"Dr. Anshu Srivastava - Artemis Hospital, Gurugram"
12,12,Drug Reaction,"Dr. R. K. Sharma - Fortis Hospital, Bengaluru"
13,13,Drug Reaction,"Dr. S. K. Singh - AIIMS, New Delhi"
14,14,Drug Reaction,"Dr. Ravi Kumar - Medanta Hospital, Gurugram"
15,15,Peptic ulcer disease,"Dr. Preeti Kulkarni - Jaslok Hospital, Mumbai"
16,16,Peptic ulcer disease,"Dr. Anil Arora - Apollo Hospitals, Hyderabad"
17,17,Peptic ulcer disease,"Dr. Shweta Gupta - Fortis Memorial Research Institute, Gurugram"
18,18,AIDS,"Dr. Suniti Solomon - YRG CARE, Chennai"
19,19,AIDS,"Dr. Anupam Roy - Apollo Hospitals, Kolkata"
20,20,AIDS,"Dr. Anil Kumar - AIIMS, New Delhi"
21,21,Diabetes,"Dr. Mohan Vamsi - Dr. Mohan's Diabetes Specialities Centre, Chennai"
22,22,Diabetes,"Dr. Pradeep Agarwal - Max Hospital, Delhi"
23,23,Diabetes,"Dr. Naveen Gupta - Apollo Hospitals, Bengaluru"
24,24,Gastroenteritis,"Dr. Govind Kulkarni - Columbia Asia Hospital, Pune"
25,25,Gastroenteritis,"Dr. P. N. Gupta - Indraprastha Apollo Hospital, Delhi"
26,26,Gastroenteritis,"Dr. Aditya Khurana - Global Hospitals, Mumbai"
27,27,Bronchial Asthma,"Dr. Sameer Arora - Sir Ganga Ram Hospital, Delhi"
28,28,Bronchial Asthma,"Dr. Rakesh Joshi - Nanavati Super Speciality Hospital, Mumbai"
29,29,Bronchial Asthma,"Dr. Nandini Gupta - Manipal Hospital, Bengaluru"
30,30,Hypertension,"Dr. Ramesh Babu - Manipal Hospital, Bengaluru"
31,31,Hypertension,"Dr. Anil Bansal - Apollo Hospitals, Hyderabad"
32,32,Hypertension,"Dr. Satish Gupta - AIIMS, New Delhi"
33,33,Migraine,"Dr. Gagan Priya - Indraprastha Apollo Hospital, Delhi"
34,34,Migraine,"Dr. Vikas Gupta - Apollo Hospitals, Chennai"
35,35,Migraine,"Dr. Neha Sharma - Fortis Hospital, Bengaluru"
36,36,Cervical spondylosis,"Dr. S. P. Mandal - AIIMS, New Delhi"
37,37,Cervical spondylosis,"Dr. N. K. Mishra - Fortis Hospital, Mumbai"
38,38,Cervical spondylosis,"Dr. Ravi Singh - Artemis Hospital, Gurugram"
39,39,Paralysis (brain hemorrhage),"Dr. Suresh Nair - Kokilaben Dhirubhai Ambani Hospital, Mumbai"
40,40,Paralysis (brain hemorrhage),"Dr. Rajesh Reddy - Apollo Hospitals, Hyderabad"
41,41,Paralysis (brain hemorrhage),"Dr. Amit Singh - Fortis Hospital, Noida"
42,42,Jaundice,"Dr. Sandeep Mishra - Apollo Hospitals, Hyderabad"
43,43,Jaundice,"Dr. S. S. Gupta - Max Super Speciality Hospital, Delhi"
44,44,Jaundice,"Dr. Sangeeta Choudhary - Fortis Hospital, Mumbai"
45,45,Malaria,"Dr. Sumit Singh - Fortis Hospital, Mumbai"
46,46,Malaria,"Dr. Rohit Jain - Apollo Hospitals, Bengaluru"
47,47,Malaria,"Dr. Sunil Singh - Jaslok Hospital, Mumbai"
48,48,Chicken pox,"Dr. Rakesh Sinha - Ruby Hall Clinic, Pune"
49,49,Chicken pox,"Dr. Vivek Khandelwal - Apollo Hospitals, Chennai"
50,50,Chicken pox,"Dr. Anand Sharma - Max Super Speciality Hospital, Delhi"
51,51,Dengue,"Dr. Sujit Chatterjee - AMRI Hospital, Kolkata"
52,52,Dengue,"Dr. Ramakrishna Prasad - Fortis Hospital, Bengaluru"
53,53,Dengue,"Dr. Rahul Sinha - Apollo Gleneagles Hospital, Kolkata"
54,54,Typhoid,"Dr. Vikram Singh - Max Super Specialty Hospital, Delhi"
55,55,Typhoid,"Dr. Shekhar Agarwal - Apollo Hospitals, Hyderabad"
56,56,Typhoid,"Dr. Anand Kumar - Fortis Memorial Research Institute, Gurugram"
57,57,Hepatitis A,"Dr. A. K. Gupta - Apollo Hospitals, Delhi"
58,58,Hepatitis A,"Dr. R. K. Jain - Max Super Speciality Hospital, Delhi"
59,59,Hepatitis A,"Dr. Sandeep Raman - Fortis Hospital, Mumbai"
60,60,Hepatitis B,"Dr. Prashant Borade - Global Hospitals, Mumbai"
61,61,Hepatitis B,"Dr. Vikas Bhatia - Apollo Hospitals, Chennai"
62,62,Hepatitis B,"Dr. Anil Kapoor - Fortis Hospital, Bengaluru"
63,63,Hepatitis C,"Dr. Manoj Kumar Sharma - BLK Super Speciality Hospital, Delhi"
64,64,Hepatitis C,"Dr. Rakesh Jain - Max Hospital, Delhi"
65,65,Hepatitis C,"Dr. Suresh Goyal - AIIMS, New Delhi"
66,66,Hepatitis D,"Dr. Rakesh Aggarwal - Medanta Hospital, Gurugram"
67,67,Hepatitis D,"Dr. Akhilesh Kumar - Apollo Hospitals, Hyderabad"
68,68,Hepatitis D,"Dr. Sunil Gupta - AIIMS, New Delhi"
69,69,Hepatitis E,"Dr. Ashish Goel - Artemis Hospital, Gurugram"
70,70,Hepatitis E,"Dr. Vikas Bansal - Fortis Hospital, Noida"
71,71,Hepatitis E,"Dr. Shiv Kumar - Indraprastha Apollo Hospital, Delhi"
